Extent,Low,Moderate,High
0.1,1,5,10
0.2,1,5,10
0.3,1,5,10
0.4,1,5,10
0.5,1,5,10
1,1,5,10
2,10,15,25
3,10,15,25
4,10,15,25
5,10,15,25
10,25,35,45
20,50,65,80
30,50,65,80
40,50,65,80
50,50,65,80
100,50,65,80
