Extent,Low,Moderate,High
0.1,1,5,10
0.2,1,5,10
0.3,1,5,10
0.4,1,5,10
0.5,1,5,10
1,1,5,10
2,1,5,10
3,1,5,10
4,1,5,10
5,1,5,10
10,5,15,20
20,5,15,20
30,5,15,20
40,5,15,20
50,5,15,20
75,10,11,15
100,35,45,55
