Extent,Low,Moderate,High
0.01,2,6,21
0.02,6,11,27
0.03,9,16,34
0.05,14,22,42
0.07,18,28,48
0.08,19,30,50
0.09,20,32,53
0.1,22,35,56
0.2,31,49,71
0.3,37,58,79
0.5,45,71,91
0.7,51,79,99
0.8,55,85,100
0.9,56,87,100
1,57,89,100
2,69,100,100
3,77,100,100
5,86,100,100
7,93,100,100
8,96,100,100
9,98,100,100
10,99,100,100
