Extent,Low,Moderate,High
0.01,4,8,20
0.05,14,22,41
0.1,21,34,55
0.2,30,49,70
0.3,38,59,80
0.4,42,66,86
0.5,46,71,92
0.6,49,75,96
0.7,52,80,100
0.8,54,84,100
0.9,56,88,100
1,58,90,100
2,70,100,100
3,78,100,100
4,83,100,100
5,88,100,100
6,90,100,100
7,93,100,100
8,95,100,100
9,98,100,100
10,100,100,100
