Unique_ID,class_name,severity,longest_ft,area_sqft,rd_length,rd_area,distress_pct
SAL-INT_FORES_3,patch,moderate,75.091700000000003,0,484.783208960056072,8726.097761281009298,0.01
SAL-INT_FORES_3,single-crack,moderate,356.498199999999997,2208.214500000000044,484.783208960056072,8726.097761281009298,73.537654236158545
SAL-INT_FORES_3,single-crack,moderate,16.398499999999999,83.471000000000004,484.783208960056072,8726.097761281009298,3.382646035777027
SAL-INT_FORES_3,single-crack,moderate,16.987300000000001,11.169300000000000,484.783208960056072,8726.097761281009298,3.504102387630277
SAL-INT_FORES_3,single-crack,moderate,17.337100000000000,73.745000000000005,484.783208960056072,8726.097761281009298,3.576258352097442
SAL-INT_GERRI_4,single-crack,moderate,13.520300000000001,84.025499999999994,270.840870960623306,6500.180903054959344,4.991971836468386
SAL-INT_GERRI_4,single-crack,moderate,12.735700000000000,68.192999999999998,270.840870960623306,6500.180903054959344,4.702281437372723
SAL-INT_GERRI_4,single-crack,moderate,7.875900000000000,3.685100000000000,270.840870960623306,6500.180903054959344,2.907943683708302
SAL-INT_GERRI_4,single-crack,moderate,0,0,270.840870960623306,6500.180903054959344,0.01
SAL-INT_GERRI_4,single-crack,moderate,5.685100000000000,3.256200000000000,270.840870960623306,6500.180903054959344,2.099055426840116
SAL-INT_GERRI_4,single-crack,moderate,4.422900000000000,0.2055,270.840870960623306,6500.180903054959344,1.633025320112426
SAL-INT_SEABR_2,single-crack,moderate,851.733799999999974,0,1102.091238006732283,26450.189712161576608,77.283419977139587
SAL-INT_COLLI_1,single-crack,moderate,4.632400000000000,9.656700000000001,1620.874193970628539,35659.232267353829229,0.285796394
SAL-INT_COLLI_1,single-crack,moderate,4.299800000000000,0,1620.874193970628539,35659.232267353829229,0.265276603
SAL-INT_COLLI_1,patch,moderate,4.197500000000000,0,1620.874193970628539,35659.232267353829229,0.01
SAL-INT_COLLI_1,single-crack,moderate,4.405200000000000,0,1620.874193970628539,35659.232267353829229,0.271779267
SAL-INT_COLLI_1,single-crack,moderate,5.281100000000000,8.895899999999999,1620.874193970628539,35659.232267353829229,0.325818007
SAL-INT_COLLI_1,single-crack,moderate,5.459300000000000,12.197400000000000,1620.874193970628539,35659.232267353829229,0.336812075
SAL-INT_COLLI_1,single-crack,moderate,4.518600000000000,2.362700000000000,1620.874193970628539,35659.232267353829229,0.278775491
SAL-INT_COLLI_1,single-crack,moderate,7.417500000000000,25.768100000000000,1620.874193970628539,35659.232267353829229,0.457623425
SAL-INT_COLLI_1,single-crack,moderate,2.286900000000000,0,1620.874193970628539,35659.232267353829229,0.141090531
SAL-INT_KELLO_1,alligator-crack,moderate,220.650299999999987,0,791.483262840841235,18995.598308180189633,0.01
SAL-INT_KELLO_1,single-crack,moderate,37.405500000000004,155.126299999999986,791.483262840841235,18995.598308180189633,4.726000126110291
SAL-INT_KELLO_1,single-crack,moderate,9.526899999999999,32.937399999999997,791.483262840841235,18995.598308180189633,1.203676748110308
SAL-INT_KELLO_1,alligator-crack,moderate,26.684200000000001,45.220500000000001,791.483262840841235,18995.598308180189633,0.238057782
