Extent,Low,Moderate,High
0.1,0,0,2
0.2,0,1,2
0.3,0,1,3
0.5,0,1,3
0.7,0,2,4
0.8,0,2,4
0.9,0,3,5
1,1,3,5
2,1,5,8
3,1,6,11
5,1,8,15
7,2,11,18
8,2,11,20
9,2,12,21
10,3,13,23
20,6,18,34
30,9,23,43
50,12,29,54
70,16,34,64
80,18,36,67
90,19,38,71
100,20,40,74
