Extent,Low,Moderate,High
0.1,7,24,53
0.2,7,24,53
0.3,7,24,53
0.4,7,24,53
0.5,7,24,53
1,7,24,53
2,12,33,64
3,12,33,64
4,12,33,64
5,12,33,64
10,17,40,72
20,21,47,78
30,21,47,78
40,21,47,78
50,21,47,78
100,21,47,78
