Extent,Low,Moderate,High
0.1,0,3,6
0.2,0,4,8
0.3,0,5,10
0.4,1,6,13
0.5,1,7,15
1,3,10,20
2,5,14,26
3,7,17,30
4,8,20,33
5,10,23,38
10,16,32,52
20,23,42,67
30,27,48,74
40,30,54,78
50,33,58,80
