Extent,Low,Moderate,High
0.1,0,1,2
0.2,0,1,2
0.3,0,1,2
0.5,0,1,3
0.7,0,1,3
0.8,0,1,3
0.9,0,1,3
1,0,1,3
2,0,1,4
3,0,1,5
5,1,2,7
7,1,3,9
8,1,3,10
9,1,4,11
10,1,4,12
20,3,7,19
30,3,9,25
50,4,12,32
70,5,13,35
80,5,13,35
90,5,14,36
100,5,15,37
