Extent,Low,Moderate,High
0.1,1,3,7
0.2,1,3,9
0.3,1,4,11
0.5,1,5,13
0.7,2,7,15
0.8,3,8,16
0.9,3,9,17
1,4,9,19
2,8,15,25
3,11,19,29
5,14,24,37
7,17,29,44
8,18,31,48
9,19,33,50
10,20,34,51
20,28,49,66
30,32,56,72
50,36,63,80
60,36,63,80
70,36,63,80
80,36,63,80
90,36,63,80
100,36,63,80
