Extent,Low,Moderate,High
0.1,0,0,4
0.2,0,1,6
0.3,0,2,9
0.4,0,3,10
0.5,0,4,12
1,2,9,18
2,4,14,26
3,7,17,33
4,9,20,39
5,11,22,44
10,17,31,62
20,24,40,80
30,29,45,87
