Extent,Low,Moderate,High
0.1,1,2.5,5
0.2,1,2.5,5
0.3,1,2.5,5
0.4,1,2.5,5
0.5,1,2.5,5
1,1,2.5,5
2,1,2.5,5
3,1,2.5,5
4,1,2.5,5
5,1,2.5,5
10,10,15,25
20,10,15,25
30,10,15,25
40,10,15,25
50,10,15,25
75,25,30,40
100,50,60,70
